mamon	made	cauhoi	dapan
305	132	1	C
305	132	2	B
305	132	3	C
305	132	4	C
305	132	5	A
305	132	6	D
305	132	7	A
305	132	8	D
305	132	9	B
305	132	10	D
305	132	11	A
305	132	12	B
305	132	13	D
305	132	14	A
305	132	15	B
305	132	16	B
305	132	17	A
305	132	18	D
305	132	19	B
305	132	20	C
305	132	21	C
305	132	22	D
305	132	23	A
305	132	24	B
305	132	25	D
305	132	26	A
305	132	27	C
305	132	28	C
305	132	29	A
305	132	30	C
305	132	31	B
305	132	32	C
305	132	33	B
305	132	34	D
305	132	35	D
305	132	36	C
305	132	37	A
305	132	38	B
305	132	39	D
305	132	40	A
305	209	1	A
305	209	2	D
305	209	3	B
305	209	4	A
305	209	5	A
305	209	6	B
305	209	7	D
305	209	8	D
305	209	9	B
305	209	10	A
305	209	11	C
305	209	12	D
305	209	13	D
305	209	14	C
305	209	15	C
305	209	16	B
305	209	17	A
305	209	18	C
305	209	19	B
305	209	20	C
305	209	21	D
305	209	22	C
305	209	23	B
305	209	24	B
305	209	25	C
305	209	26	A
305	209	27	B
305	209	28	D
305	209	29	C
305	209	30	A
305	209	31	C
305	209	32	A
305	209	33	C
305	209	34	D
305	209	35	B
305	209	36	D
305	209	37	A
305	209	38	B
305	209	39	A
305	209	40	D
305	357	1	A
305	357	2	B
305	357	3	D
305	357	4	D
305	357	5	B
305	357	6	D
305	357	7	A
305	357	8	C
305	357	9	A
305	357	10	D
305	357	11	A
305	357	12	B
305	357	13	B
305	357	14	A
305	357	15	D
305	357	16	B
305	357	17	C
305	357	18	C
305	357	19	B
305	357	20	A
305	357	21	B
305	357	22	A
305	357	23	D
305	357	24	A
305	357	25	B
305	357	26	C
305	357	27	A
305	357	28	D
305	357	29	D
305	357	30	C
305	357	31	C
305	357	32	D
305	357	33	A
305	357	34	B
305	357	35	B
305	357	36	C
305	357	37	C
305	357	38	C
305	357	39	C
305	357	40	D
305	485	1	C
305	485	2	D
305	485	3	C
305	485	4	D
305	485	5	A
305	485	6	D
305	485	7	D
305	485	8	C
305	485	9	B
305	485	10	A
305	485	11	A
305	485	12	B
305	485	13	B
305	485	14	A
305	485	15	C
305	485	16	A
305	485	17	B
305	485	18	B
305	485	19	D
305	485	20	C
305	485	21	D
305	485	22	A
305	485	23	A
305	485	24	C
305	485	25	C
305	485	26	C
305	485	27	D
305	485	28	B
305	485	29	A
305	485	30	A
305	485	31	D
305	485	32	B
305	485	33	B
305	485	34	D
305	485	35	A
305	485	36	B
305	485	37	D
305	485	38	C
305	485	39	B
305	485	40	C
305	570	1	D
305	570	2	D
305	570	3	A
305	570	4	A
305	570	5	A
305	570	6	D
305	570	7	D
305	570	8	B
305	570	9	D
305	570	10	C
305	570	11	C
305	570	12	A
305	570	13	C
305	570	14	B
305	570	15	D
305	570	16	A
305	570	17	C
305	570	18	C
305	570	19	D
305	570	20	B
305	570	21	B
305	570	22	C
305	570	23	B
305	570	24	B
305	570	25	A
305	570	26	A
305	570	27	D
305	570	28	A
305	570	29	C
305	570	30	D
305	570	31	D
305	570	32	B
305	570	33	B
305	570	34	B
305	570	35	A
305	570	36	C
305	570	37	B
305	570	38	A
305	570	39	C
305	570	40	C
305	628	1	D
305	628	2	C
305	628	3	D
305	628	4	C
305	628	5	D
305	628	6	A
305	628	7	C
305	628	8	B
305	628	9	A
305	628	10	A
305	628	11	B
305	628	12	C
305	628	13	A
305	628	14	A
305	628	15	D
305	628	16	D
305	628	17	C
305	628	18	D
305	628	19	C
305	628	20	C
305	628	21	A
305	628	22	B
305	628	23	C
305	628	24	C
305	628	25	B
305	628	26	C
305	628	27	A
305	628	28	B
305	628	29	B
305	628	30	A
305	628	31	B
305	628	32	B
305	628	33	B
305	628	34	A
305	628	35	A
305	628	36	B
305	628	37	D
305	628	38	D
305	628	39	D
305	628	40	D
