ÐÁP ÁN MÔN L? 12 - HKI												
mamon	made	cauhoi	dapan	made	cauhoi	dapan	made	cauhoi	dapan	made	cauhoi	dapan
LY 12	169	1	B	245	1	B	326	1	B	493	1	C
LY 12	169	2	C	245	2	B	326	2	C	493	2	B
LY 12	169	3	B	245	3	A	326	3	B	493	3	D
LY 12	169	4	D	245	4	D	326	4	A	493	4	D
LY 12	169	5	D	245	5	B	326	5	D	493	5	D
LY 12	169	6	D	245	6	D	326	6	C	493	6	D
LY 12	169	7	C	245	7	B	326	7	B	493	7	D
LY 12	169	8	A	245	8	C	326	8	B	493	8	D
LY 12	169	9	B	245	9	B	326	9	D	493	9	D
LY 12	169	10	C	245	10	C	326	10	A	493	10	D
LY 12	169	11	C	245	11	B	326	11	C	493	11	D
LY 12	169	12	A	245	12	C	326	12	C	493	12	D
LY 12	169	13	B	245	13	C	326	13	A	493	13	D
LY 12	169	14	D	245	14	A	326	14	B	493	14	D
LY 12	169	15	C	245	15	C	326	15	D	493	15	D
LY 12	169	16	B	245	16	D	326	16	A	493	16	D
LY 12	169	17	A	245	17	C	326	17	A	493	17	D
LY 12	169	18	D	245	18	A	326	18	C	493	18	D
LY 12	169	19	C	245	19	D	326	19	A	493	19	D
LY 12	169	20	A	245	20	D	326	20	C	493	20	D
LY 12	169	21	B	245	21	D	326	21	D	493	21	D
LY 12	169	22	D	245	22	B	326	22	B	493	22	D
LY 12	169	23	D	245	23	C	326	23	A	493	23	D
LY 12	169	24	C	245	24	D	326	24	B	493	24	D
LY 12	169	25	D	245	25	A	326	25	D	493	25	D
LY 12	169	26	A	245	26	B	326	26	D	493	26	D
LY 12	169	27	B	245	27	A	326	27	D	493	27	D
LY 12	169	28	A	245	28	A	326	28	D	493	28	D
LY 12	169	29	C	245	29	D	326	29	C	493	29	D
LY 12	169	30	A	245	30	B	326	30	C	493	30	D
LY 12	169	31	B	245	31	C	326	31	C	493	31	D
LY 12	169	32	A	245	32	B	326	32	A	493	32	D
LY 12	169	33	B	245	33	A	326	33	A	493	33	D
LY 12	169	34	B	245	34	A	326	34	D	493	34	D
LY 12	169	35	A	245	35	D	326	35	B	493	35	D
LY 12	169	36	C	245	36	C	326	36	A	493	36	D
LY 12	169	37	D	245	37	A	326	37	B	493	37	D
LY 12	169	38	A	245	38	C	326	38	B	493	38	D
LY 12	169	39	C	245	39	A	326	39	C	493	39	D
LY 12	169	40	D	245	40	D	326	40	D	493	40	D
