mamon	made	cauhoi	dapan
222	222	1	A
222	222	2	A
222	222	3	B
222	222	4	D
222	222	5	D
222	222	6	D
222	222	7	C
222	222	8	A
222	222	9	D
222	222	10	A
222	222	11	B
222	222	12	B
222	222	13	B
222	222	14	C
222	222	15	C
222	222	16	B
222	222	17	D
222	222	18	D
222	222	19	B
222	222	20	B
222	222	21	C
222	222	22	C
222	222	23	C
222	222	24	C
222	222	25	B
222	222	26	C
222	222	27	D
222	222	28	D
222	222	29	A
222	222	30	C
222	222	31	B
222	222	32	A
222	222	33	D
222	222	34	A
222	222	35	B
222	222	36	C
222	222	37	A
222	222	38	A
222	222	39	D
222	222	40	A
222	223	1	A
222	223	2	D
222	223	3	B
222	223	4	B
222	223	5	C
222	223	6	C
222	223	7	B
222	223	8	D
222	223	9	D
222	223	10	C
222	223	11	C
222	223	12	A
222	223	13	A
222	223	14	D
222	223	15	D
222	223	16	B
222	223	17	D
222	223	18	B
222	223	19	D
222	223	20	C
222	223	21	B
222	223	22	A
222	223	23	C
222	223	24	A
222	223	25	C
222	223	26	C
222	223	27	C
222	223	28	B
222	223	29	D
222	223	30	D
222	223	31	A
222	223	32	C
222	223	33	A
222	223	34	B
222	223	35	D
222	223	36	A
222	223	37	A
222	223	38	A
222	223	39	B
222	223	40	B
222	224	1	B
222	224	2	B
222	224	3	B
222	224	4	A
222	224	5	B
222	224	6	C
222	224	7	D
222	224	8	D
222	224	9	B
222	224	10	B
222	224	11	D
222	224	12	B
222	224	13	C
222	224	14	B
222	224	15	D
222	224	16	C
222	224	17	A
222	224	18	C
222	224	19	C
222	224	20	D
222	224	21	A
222	224	22	D
222	224	23	D
222	224	24	C
222	224	25	C
222	224	26	A
222	224	27	A
222	224	28	D
222	224	29	B
222	224	30	A
222	224	31	C
222	224	32	A
222	224	33	D
222	224	34	A
222	224	35	A
222	224	36	C
222	224	37	A
222	224	38	B
222	224	39	D
222	224	40	C
222	225	1	A
222	225	2	B
222	225	3	D
222	225	4	C
222	225	5	C
222	225	6	B
222	225	7	B
222	225	8	B
222	225	9	B
222	225	10	D
222	225	11	D
222	225	12	D
222	225	13	C
222	225	14	A
222	225	15	C
222	225	16	D
222	225	17	C
222	225	18	D
222	225	19	A
222	225	20	C
222	225	21	C
222	225	22	B
222	225	23	D
222	225	24	A
222	225	25	A
222	225	26	C
222	225	27	D
222	225	28	B
222	225	29	C
222	225	30	B
222	225	31	A
222	225	32	D
222	225	33	A
222	225	34	A
222	225	35	C
222	225	36	D
222	225	37	A
222	225	38	B
222	225	39	A
222	225	40	B
