?ÁP ÁN ?? KI?M TRA HKI - MÔN LÝ - KH?I 12 - N?M H?C 2016-2017													
													
mamon	made	cauhoi	dapan	made	cauhoi	dapan	made	cauhoi	dapan	made	cauhoi	dapan	
LY 12	134	1	C	210	1	C	356	1	A	483	1	D	
LY 12	134	2	B	210	2	D	356	2	A	483	2	A	
LY 12	134	3	A	210	3	B	356	3	B	483	3	C	
LY 12	134	4	D	210	4	A	356	4	D	483	4	B	
LY 12	134	5	D	210	5	B	356	5	C	483	5	D	
LY 12	134	6	D	210	6	D	356	6	C	483	6	B	
LY 12	134	7	D	210	7	A	356	7	D	483	7	A	
LY 12	134	8	D	210	8	B	356	8	D	483	8	B	
LY 12	134	9	B	210	9	D	356	9	B	483	9	D	
LY 12	134	10	C	210	10	C	356	10	B	483	10	D	
LY 12	134	11	B	210	11	A	356	11	B	483	11	B	
LY 12	134	12	B	210	12	A	356	12	D	483	12	C	
LY 12	134	13	A	210	13	D	356	13	D	483	13	D	
LY 12	134	14	D	210	14	D	356	14	A	483	14	D	
LY 12	134	15	B	210	15	D	356	15	D	483	15	D	
LY 12	134	16	B	210	16	C	356	16	D	483	16	C	
LY 12	134	17	B	210	17	A	356	17	C	483	17	A	
LY 12	134	18	C	210	18	A	356	18	B	483	18	C	
LY 12	134	19	A	210	19	D	356	19	C	483	19	C	
LY 12	134	20	D	210	20	B	356	20	C	483	20	C	
LY 12	134	21	A	210	21	C	356	21	B	483	21	A	
LY 12	134	22	D	210	22	C	356	22	A	483	22	C	
LY 12	134	23	A	210	23	B	356	23	C	483	23	A	
LY 12	134	24	C	210	24	C	356	24	C	483	24	D	
LY 12	134	25	B	210	25	B	356	25	A	483	25	B	
LY 12	134	26	B	210	26	C	356	26	B	483	26	A	
LY 12	134	27	C	210	27	C	356	27	A	483	27	C	
LY 12	134	28	A	210	28	A	356	28	B	483	28	B	
LY 12	134	29	A	210	29	D	356	29	D	483	29	A	
LY 12	134	30	A	210	30	D	356	30	D	483	30	A	
LY 12	134	31	D	210	31	C	356	31	A	483	31	B	
LY 12	134	32	D	210	32	C	356	32	C	483	32	A	
LY 12	134	33	C	210	33	B	356	33	D	483	33	B	
LY 12	134	34	C	210	34	A	356	34	B	483	34	B	
LY 12	134	35	C	210	35	B	356	35	A	483	35	C	
LY 12	134	36	B	210	36	B	356	36	C	483	36	A	
LY 12	134	37	C	210	37	A	356	37	A	483	37	D	
LY 12	134	38	A	210	38	A	356	38	B	483	38	D	
LY 12	134	39	C	210	39	D	356	39	A	483	39	B	
LY 12	134	40	A	210	40	B	356	40	C	483	40	C	
