mamon	made	cauhoi	dapan									
Ly hk2	132	1	D	209	1	C	357	1	D	485	1	D
	132	2	C	209	2	D	357	2	A	485	2	B
	132	3	D	209	3	B	357	3	D	485	3	A
	132	4	B	209	4	B	357	4	C	485	4	D
	132	5	C	209	5	D	357	5	B	485	5	D
	132	6	D	209	6	C	357	6	C	485	6	D
	132	7	C	209	7	C	357	7	C	485	7	B
	132	8	B	209	8	D	357	8	A	485	8	A
	132	9	A	209	9	B	357	9	B	485	9	A
	132	10	B	209	10	B	357	10	C	485	10	C
	132	11	C	209	11	B	357	11	A	485	11	D
	132	12	D	209	12	D	357	12	D	485	12	C
	132	13	D	209	13	A	357	13	A	485	13	C
	132	14	A	209	14	D	357	14	D	485	14	A
	132	15	B	209	15	A	357	15	D	485	15	B
	132	16	A	209	16	C	357	16	B	485	16	C
	132	17	C	209	17	B	357	17	A	485	17	A
	132	18	B	209	18	A	357	18	A	485	18	B
	132	19	A	209	19	A	357	19	B	485	19	C
	132	20	D	209	20	C	357	20	A	485	20	C
	132	21	C	209	21	A	357	21	B	485	21	A
	132	22	A	209	22	D	357	22	C	485	22	C
	132	23	C	209	23	C	357	23	D	485	23	B
	132	24	A	209	24	D	357	24	C	485	24	B
	132	25	D	209	25	C	357	25	B	485	25	A
	132	26	C	209	26	D	357	26	D	485	26	A
	132	27	B	209	27	C	357	27	B	485	27	B
	132	28	D	209	28	A	357	28	B	485	28	B
	132	29	B	209	29	B	357	29	A	485	29	D
	132	30	B	209	30	A	357	30	C	485	30	C
	132	31	A	209	31	A	357	31	D	485	31	D
	132	32	A	209	32	B	357	32	C	485	32	D
	132	33	D	209	33	B	357	33	B	485	33	C
	132	34	B	209	34	B	357	34	A	485	34	A
	132	35	D	209	35	C	357	35	B	485	35	D
	132	36	B	209	36	D	357	36	C	485	36	D
	132	37	A	209	37	C	357	37	D	485	37	B
	132	38	C	209	38	A	357	38	A	485	38	B
	132	39	A	209	39	A	357	39	C	485	39	A
	132	40	C	209	40	D	357	40	D	485	40	C
	132	41	B	209	41	B	357	41	B	485	41	B
	132	42	D	209	42	D	357	42	D	485	42	D
	132	43	D	209	43	D	357	43	D	485	43	D
	132	44	D	209	44	D	357	44	D	485	44	D
	132	45	C	209	45	C	357	45	C	485	45	C
	132	46	A	209	46	A	357	46	A	485	46	A
	132	47	C	209	47	C	357	47	C	485	47	C
	132	48	A	209	48	A	357	48	A	485	48	A
