��P �N M�N L? 12 - HKII (2013-2014)												
mamon	made	cauhoi	dapan	made	cauhoi	dapan	made	cauhoi	dapan	made	cauhoi	dapan
LÝ 12	169	1	A	245	1	C	326	1	D	493	1	B
LÝ 12	169	2	D	245	2	C	326	2	C	493	2	C
LÝ 12	169	3	C	245	3	D	326	3	B	493	3	C
LÝ 12	169	4	C	245	4	B	326	4	B	493	4	D
LÝ 12	169	5	D	245	5	B	326	5	D	493	5	D
LÝ 12	169	6	C	245	6	C	326	6	B	493	6	A
LÝ 12	169	7	A	245	7	C	326	7	D	493	7	C
LÝ 12	169	8	B	245	8	D	326	8	C	493	8	B
LÝ 12	169	9	C	245	9	A	326	9	B	493	9	C
LÝ 12	169	10	D	245	10	B	326	10	D	493	10	C
LÝ 12	169	11	D	245	11	C	326	11	D	493	11	D
LÝ 12	169	12	D	245	12	C	326	12	D	493	12	D
LÝ 12	169	13	C	245	13	B	326	13	D	493	13	D
LÝ 12	169	14	C	245	14	A	326	14	D	493	14	A
LÝ 12	169	15	A	245	15	D	326	15	D	493	15	B
LÝ 12	169	16	B	245	16	D	326	16	A	493	16	D
LÝ 12	169	17	D	245	17	A	326	17	C	493	17	B
LÝ 12	169	18	B	245	18	D	326	18	A	493	18	A
LÝ 12	169	19	A	245	19	C	326	19	D	493	19	C
LÝ 12	169	20	B	245	20	B	326	20	B	493	20	B
LÝ 12	169	21	C	245	21	D	326	21	B	493	21	C
LÝ 12	169	22	D	245	22	A	326	22	A	493	22	C
LÝ 12	169	23	A	245	23	A	326	23	C	493	23	B
LÝ 12	169	24	A	245	24	D	326	24	D	493	24	A
LÝ 12	169	25	C	245	25	A	326	25	A	493	25	C
LÝ 12	169	26	D	245	26	B	326	26	C	493	26	C
LÝ 12	169	27	B	245	27	B	326	27	C	493	27	A
LÝ 12	169	28	B	245	28	A	326	28	A	493	28	D
LÝ 12	169	29	A	245	29	A	326	29	B	493	29	C
LÝ 12	169	30	B	245	30	C	326	30	C	493	30	A
LÝ 12	169	31	B	245	31	C	326	31	C	493	31	D
LÝ 12	169	32	A	245	32	C	326	32	A	493	32	B
LÝ 12	169	33	C	245	33	D	326	33	A	493	33	B
LÝ 12	169	34	C	245	34	B	326	34	C	493	34	D
LÝ 12	169	35	B	245	35	B	326	35	D	493	35	D
LÝ 12	169	36	B	245	36	D	326	36	B	493	36	B
LÝ 12	169	37	D	245	37	D	326	37	A	493	37	B
LÝ 12	169	38	C	245	38	A	326	38	B	493	38	A
LÝ 12	169	39	D	245	39	D	326	39	B	493	39	A
LÝ 12	169	40	D	245	40	D	326	40	A	493	40	A
LÝ 12	169	41	C	245	41	B	326	41	A	493	41	D
LÝ 12	169	42	A	245	42	A	326	42	B	493	42	B
LÝ 12	169	43	D	245	43	B	326	43	C	493	43	A
LÝ 12	169	44	A	245	44	C	326	44	C	493	44	B
LÝ 12	169	45	B	245	45	A	326	45	A	493	45	C
LÝ 12	169	46	A	245	46	A	326	46	B	493	46	A
LÝ 12	169	47	A	245	47	B	326	47	A	493	47	D
LÝ 12	169	48	B	245	48	C	326	48	C	493	48	A
