?ÁP ÁN ?? KI?M TRA HKII - MÔN LÝ - KH?I 12												
N?M H?C: 2016-2017												
mamon	made	cauhoi	dapan	made	cauhoi	dapan	made	cauhoi	dapan	made	cauhoi	dapan
LY 12	132	1	A	209	1	D	357	1	C	485	1	A
LY 12	132	2	D	209	2	B	357	2	A	485	2	C
LY 12	132	3	B	209	3	B	357	3	C	485	3	D
LY 12	132	4	C	209	4	C	357	4	D	485	4	C
LY 12	132	5	D	209	5	B	357	5	D	485	5	D
LY 12	132	6	D	209	6	D	357	6	A	485	6	D
LY 12	132	7	B	209	7	B	357	7	B	485	7	C
LY 12	132	8	C	209	8	B	357	8	C	485	8	B
LY 12	132	9	C	209	9	C	357	9	D	485	9	B
LY 12	132	10	D	209	10	A	357	10	B	485	10	A
LY 12	132	11	B	209	11	B	357	11	A	485	11	D
LY 12	132	12	B	209	12	C	357	12	C	485	12	C
LY 12	132	13	B	209	13	D	357	13	B	485	13	B
LY 12	132	14	C	209	14	A	357	14	B	485	14	D
LY 12	132	15	A	209	15	D	357	15	D	485	15	A
LY 12	132	16	A	209	16	C	357	16	B	485	16	A
LY 12	132	17	C	209	17	A	357	17	A	485	17	D
LY 12	132	18	A	209	18	C	357	18	D	485	18	B
LY 12	132	19	C	209	19	A	357	19	C	485	19	C
LY 12	132	20	A	209	20	D	357	20	B	485	20	A
LY 12	132	21	D	209	21	D	357	21	A	485	21	B
LY 12	132	22	D	209	22	A	357	22	A	485	22	C
LY 12	132	23	A	209	23	C	357	23	C	485	23	B
LY 12	132	24	B	209	24	A	357	24	D	485	24	A
